native_power,power,wind_dir,wind_speed,air_temp,SAP,air_density
9.776,0.611,1,1,1,1,1
9.831,0.6144375,1,1,1,1,1
9.727,0.6079375,1,1,1,1,1
9.614,0.600875,1,1,1,1,1
9.383,0.5864375,1,1,1,1,1
9.188,0.57425,1,1,1,1,1
9.172,0.57325,1,1,1,1,1
9.165,0.5728125,1,1,1,1,1
8.987,0.5616875,1,1,1,1,1
8.98,0.56125,1,1,1,1,1
9.01,0.563125,1,1,1,1,1
8.958,0.559875,1,1,1,1,1
8.862,0.553875,1,1,1,1,1
8.666,0.541625,1,1,1,1,1
8.642,0.540125,1,1,1,1,1
8.428,0.52675,1,1,1,1,1
8.052,0.50325,1,1,1,1,1
7.713,0.4820625,1,1,1,1,1
7.499,0.4686875,1,1,1,1,1
7.356,0.45975,1,1,1,1,1
7.187,0.4491875,1,1,1,1,1
6.955,0.4346875,1,1,1,1,1
6.813,0.4258125,1,1,1,1,1
6.877,0.4298125,1,1,1,1,1
6.996,0.43725,1,1,1,1,1
7.124,0.44525,1,1,1,1,1
7.306,0.456625,1,1,1,1,1
7.398,0.462375,1,1,1,1,1
7.5,0.46875,1,1,1,1,1
7.637,0.4773125,1,1,1,1,1
7.595,0.4746875,1,1,1,1,1
7.759,0.4849375,1,1,1,1,1
7.798,0.487375,1,1,1,1,1
7.665,0.4790625,1,1,1,1,1
7.703,0.4814375,1,1,1,1,1
7.497,0.4685625,1,1,1,1,1
7.22,0.45125,1,1,1,1,1
6.951,0.4344375,1,1,1,1,1
6.637,0.4148125,1,1,1,1,1
6.521,0.4075625,1,1,1,1,1
6.72,0.42,1,1,1,1,1
6.999,0.4374375,1,1,1,1,1
7.242,0.452625,1,1,1,1,1
7.486,0.467875,1,1,1,1,1
7.621,0.4763125,1,1,1,1,1
7.685,0.4803125,1,1,1,1,1
7.704,0.4815,1,1,1,1,1
7.587,0.4741875,1,1,1,1,1
7.407,0.4629375,1,1,1,1,1
7.245,0.4528125,1,1,1,1,1
7.129,0.4455625,1,1,1,1,1
7.21,0.450625,1,1,1,1,1
7.426,0.464125,1,1,1,1,1
7.651,0.4781875,1,1,1,1,1
8.01,0.500625,1,1,1,1,1
8.442,0.527625,1,1,1,1,1
8.73,0.545625,1,1,1,1,1
9.035,0.5646875,1,1,1,1,1
9.539,0.5961875,1,1,1,1,1
10.09,0.630625,1,1,1,1,1
10.571,0.6606875,1,1,1,1,1
11.042,0.690125,1,1,1,1,1
11.674,0.729625,1,1,1,1,1
12.146,0.759125,1,1,1,1,1
12.351,0.7719375,1,1,1,1,1
12.414,0.775875,1,1,1,1,1
12.352,0.772,1,1,1,1,1
12.495,0.7809375,1,1,1,1,1
12.694,0.793375,1,1,1,1,1
12.807,0.8004375,1,1,1,1,1
