STATION,STATION_NAME,DATE,HPCP
COOP:303851,HIGHMARKET NY US,20130511 01:00,2.54
COOP:303851,HIGHMARKET NY US,20130511 02:00,5.08
COOP:303851,HIGHMARKET NY US,20130511 04:00,2.54
COOP:303851,HIGHMARKET NY US,20130511 09:00,5.08
COOP:303851,HIGHMARKET NY US,20130513 10:00,2.54
COOP:303851,HIGHMARKET NY US,20130516 01:00,25399.75
COOP:303851,HIGHMARKET NY US,20130517 00:00,25399.75
COOP:303851,HIGHMARKET NY US,20130521 02:00,17.78
COOP:303851,HIGHMARKET NY US,20130521 19:00,2.54
COOP:303851,HIGHMARKET NY US,20130521 23:00,2.54
COOP:303851,HIGHMARKET NY US,20130522 23:00,2.54
COOP:303851,HIGHMARKET NY US,20130523 08:00,2.54
COOP:303851,HIGHMARKET NY US,20130523 16:00,7.62
COOP:303851,HIGHMARKET NY US,20130523 17:00,2.54
COOP:303851,HIGHMARKET NY US,20130524 02:00,2.54
COOP:303851,HIGHMARKET NY US,20130524 03:00,2.54
COOP:303851,HIGHMARKET NY US,20130524 14:00,2.54
COOP:303851,HIGHMARKET NY US,20130525 20:00,2.54
COOP:303851,HIGHMARKET NY US,20130525 22:00,2.54
COOP:303851,HIGHMARKET NY US,20130528 00:00,2.54
COOP:303851,HIGHMARKET NY US,20130529 06:00,2.54
COOP:303851,HIGHMARKET NY US,20130529 07:00,2.54
COOP:303851,HIGHMARKET NY US,20130529 09:00,2.54
COOP:303851,HIGHMARKET NY US,20130529 18:00,2.54
COOP:303851,HIGHMARKET NY US,20130601 01:00,0.00
COOP:303851,HIGHMARKET NY US,20130601 20:00,7.62
COOP:303851,HIGHMARKET NY US,20130602 07:00,2.54
COOP:303851,HIGHMARKET NY US,20130606 13:00,2.54
COOP:303851,HIGHMARKET NY US,20130606 15:00,2.54
COOP:303851,HIGHMARKET NY US,20130606 16:00,5.08
COOP:303851,HIGHMARKET NY US,20130606 18:00,2.54
COOP:303851,HIGHMARKET NY US,20130606 19:00,7.62
COOP:303851,HIGHMARKET NY US,20130606 20:00,5.08
COOP:303851,HIGHMARKET NY US,20130606 21:00,2.54
COOP:303851,HIGHMARKET NY US,20130606 22:00,5.08
COOP:303851,HIGHMARKET NY US,20130606 23:00,5.08
COOP:303851,HIGHMARKET NY US,20130607 00:00,2.54
COOP:303851,HIGHMARKET NY US,20130607 01:00,2.54
COOP:303851,HIGHMARKET NY US,20130607 04:00,2.54
COOP:303851,HIGHMARKET NY US,20130607 06:00,2.54
COOP:303851,HIGHMARKET NY US,20130607 12:00,2.54
COOP:303851,HIGHMARKET NY US,20130608 00:00,5.08
COOP:303851,HIGHMARKET NY US,20130610 15:00,2.54
COOP:303851,HIGHMARKET NY US,20130610 17:00,2.54
COOP:303851,HIGHMARKET NY US,20130610 18:00,5.08
COOP:303851,HIGHMARKET NY US,20130610 19:00,2.54
COOP:303851,HIGHMARKET NY US,20130610 20:00,2.54
COOP:303851,HIGHMARKET NY US,20130610 23:00,2.54
COOP:303851,HIGHMARKET NY US,20130611 02:00,2.54
COOP:303851,HIGHMARKET NY US,20130611 03:00,5.08
COOP:303851,HIGHMARKET NY US,20130611 05:00,2.54
COOP:303851,HIGHMARKET NY US,20130611 07:00,2.54
COOP:303851,HIGHMARKET NY US,20130611 10:00,2.54
COOP:303851,HIGHMARKET NY US,20130612 05:00,2.54
COOP:303851,HIGHMARKET NY US,20130613 10:00,2.54
COOP:303851,HIGHMARKET NY US,20130613 11:00,5.08
